140.535339865012	0.0120110766424057	31.02795	1.31106633435642e-16
140.511663397485	0.0123896698177801	31.9672845507144	0.0156860239132082
140.476087039838	0.0145611152652597	33.2908494671691	0.0183128263902431
140.435205727053	0.0125731590945187	34.91697	6.48124934252322e-17
140.388392490697	0.0127535021961035	36.6827144808764	0.0231433521060812
140.341059978456	0.0146608127046654	38.28746	2.81041998482829e-16
140.287301886047	0.0132970101698178	40.10234	2.5188193431445e-16
140.238121845973	0.0171483077831336	42.17649	1.4183703747271e-16
140.180126021446	0.0173325298949762	43.99137	4.44029138823985e-17
140.135709196178	0.0104198098501547	45.4706030596114	0.0147695575170055
140.083950720115	0.0181216634182181	47.8336141913897	0.00804046839059824
140.026435583394	0.0131799597565254	49.8392719813438	0.0166577797795648
139.902116807484	0.0234728265416134	54.3621	2.24989282560572e-15
139.769399467878	0.0185051883106729	58.0084139509329	0.0481990731318447
139.729961224078	0.0184989305846976	59.9187706169402	0.0146790970788158
139.731133152907	0.013694485336712	59.6207790331753	0.00840466087209218
139.728333444281	0.0162293829940075	59.6426401361829	0.0101690227834425
139.710940596926	0.0135323428860704	60.7561704695139	0.00993307149070246
139.70645982263	0.0145853724918529	60.7967046435332	0.00698726326578617
139.705049098573	0.0136221360052435	60.84381	0.0
139.692463381629	0.0119021009189448	61.1110512105067	0.0117698894429129
